ID,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
a41035ee-9758-4877-bb81-71056fee39b9,97100143,PDTS/MA,MISSIG,EN,DH3,ZLSO_D_RCPT,active,,,,,b7465788-cf9c-41fd-8fc1-812ca7c20323
7b552767-b129-4d63-8e74-f97ee701c29e,97100238,PDWS/MM,MISSIG,EN,DH3,ZLSO_D_MAIL,active,,,,,b7465788-cf9c-41fd-8fc1-812ca7c20323
9af4a97f-2a80-48ae-a55a-5189170f0530,ZQAM_ISSUE_OVERVIEW,SFPF/5F,I302690,EN,EC3,,active,,,2014-08-11T22:00:00Z,,9e180860-146b-42cc-a922-fc04803df34d
aeafa055-bc49-4ae6-9489-058ee282fe54,ZCOST_ELEMENTS,TABL/DT,C5191063,EN,EC3,Cost Elements,active,2016-09-02T11:38:34Z,C5191063,2014-06-09T22:00:00Z,,5cdc435f-63c7-4045-a915-3ec0c9540c95
187d4d30-522f-46d2-aa56-c101f8c5d259,ZBUS2075,SOBJ/MO,ROMAHN,DE,EC3,ZBUS2075 internal order subtype,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
1707d709-3157-4c88-99df-f87ac22ca62f,90600005,PDTS/MA,D022163,DE,EC3,CustAppr,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
9caa2b0f-23f3-4ead-bce3-da44ac747b5b,90600006,PDTS/MA,D022163,DE,EC3,CustBAPI,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
3674e9eb-ae1c-4e93-953a-2ecd623cefc9,90600007,PDTS/MA,D022163,DE,EC3,CustAppr_00,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
df97b709-2288-476c-b01f-e84ac4f6db71,ZBUS2075,SOBJ/MO,ROMAHN,DE,EC3,ZBUS2075 internal order subtype,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
864f9a66-97b0-4868-9bbd-a91b4688d0ee,98000005,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Edit,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
60900f29-b2a8-4fa2-882f-2e6f4485ad05,90600005,PDTS/MA,D022163,DE,EC3,CustAppr,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
6869acba-be94-4705-9bf9-6f973a78c671,98000006,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Relea,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
96f482a7-4d6e-4949-92f7-a9492b011850,90600006,PDWS/MM,D022163,DE,EC3,CustCrea,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
16f21eed-36ef-484a-92dc-65ae33ba00f8,90600006,PDTS/MA,D022163,DE,EC3,CustBAPI,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
f30f83c7-db13-490b-81b2-871bcaec605f,90600007,PDWS/MM,D022163,DE,EC3,CustCrea_00,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
47e85f73-7a43-4fe1-992a-455212f27430,90600007,PDTS/MA,D022163,DE,EC3,CustAppr_00,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
11840a54-4bc5-43c6-9e77-9a6dc2745a33,98000005,PDWS/MM,ROMAHN,DE,EC3,IntOrd_Appro,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
5db8840d-bb4a-4564-9d48-4ad2190ed78e,98000005,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Edit,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
f5108f0f-a6ca-44cc-b468-1d8a65fbd0cb,98000006,PDWS/MM,ROMAHN,DE,EC3,Mara_Check,active,,,,,27d8fe22-3b33-4318-86d0-66150631b59b
e41a209a-a819-46f7-9359-058ee798afab,98000006,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Relea,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
5a82b121-45f8-4362-b28b-05f3c724cf13,90600006,PDWS/MM,D022163,DE,EC3,CustCrea,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
05c87933-fb37-4f86-8a68-a7974c1fb23c,90600007,PDWS/MM,D022163,DE,EC3,CustCrea_00,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
26762de1-4d5a-45fd-9265-9009c3a57757,98000005,PDWS/MM,ROMAHN,DE,EC3,IntOrd_Appro,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
b3aef3e5-768b-4381-9832-b6ef64eea13d,98000006,PDWS/MM,ROMAHN,DE,EC3,Mara_Check,active,,,,,d5ae023a-19bb-49e2-a63d-6e0012aee507
568585c2-d5c9-40d3-978c-7128a1903827,98800060,PDWS/MM,HARTMANNJOE,DE,T68,Z-AC690-01,active,,,,,f927176b-aad2-4a60-a66f-8b62cb6b1300
b802a653-e657-4283-8eda-6221d5529fc8,98000181,PDTS/MA,I036765,EN,L53,SENDAPPR,active,,,,,e9ff8eb3-4321-43f7-bbfe-f7b899b59d27
87c3feb7-06fc-4636-8aca-253f22db447a,98000248,PDWS/MM,I036765,EN,L53,createvendor,active,,,,,e9ff8eb3-4321-43f7-bbfe-f7b899b59d27
f787e0a3-5854-4d59-8aec-4d52372e0a83,ZPA0012,VIEW/DV,D542,EN,I01,Fiscal Data - Germany,active,2021-12-08T08:50:03Z,D542,2021-11-07T23:00:00Z,,3db28c23-960b-45f7-bd49-d285fb371449
486f8a26-304c-47d8-92a9-da4e932f0c34,ZPA0013,VIEW/DV,D542,EN,I01,Infotyp Sozialversicherung Deutschland,active,2021-12-08T08:48:41Z,D542,2021-11-07T23:00:00Z,,3db28c23-960b-45f7-bd49-d285fb371449
deca35ed-5c44-4832-8c1a-419a3e37b94d,ZPA0079,VIEW/DV,D542,EN,I01,Infotyp SI Additional Insurance,active,2021-12-08T08:50:33Z,D396,2021-11-08T23:00:00Z,,3db28c23-960b-45f7-bd49-d285fb371449
fdd2a0b6-ee84-496b-a526-d8cae8d859ec,ZPA0699,VIEW/DV,D542,EN,I01,Personnel Master Record Infotype 0699,active,2021-12-08T08:58:45Z,D396,2021-11-08T23:00:00Z,,3db28c23-960b-45f7-bd49-d285fb371449
3a316da0-028e-4de1-aac6-d5f6e7b62685,ZAH_VIEW,VIEW/DV,HERRMANNSPAH,DE,EC3,View über 2 Tabellen: scarr und spfli,active,2016-09-02T11:40:28Z,HERRMANNSPAH,,,87ee40eb-04fd-4c7c-907d-fcd0166b3c6f
40bac0d0-d569-40e7-b2ee-dc8288d9738a,ZAH_MC_BC400,TRAN/T,HERRMANNSPAH,DE,EC3,Multiple Choice for BC400,active,,,,,87ee40eb-04fd-4c7c-907d-fcd0166b3c6f
0f65ed6f-19f3-4c57-b95e-f071fdc4deb1,ZAH_PLANE,TTYP/DA,HERRMANNSPAH,DE,EC3,itab-Typ für Flugzeuge der Tabelle SAPLANE (Demo!),active,2016-09-02T11:40:21Z,HERRMANNSPAH,,,610a65d1-59b5-4e98-89c0-0f67d37e0d41
f8013d8a-65f2-4d5b-8fd3-20c44630c6af,ZAH_VIEW,VIEW/DV,HERRMANNSPAH,DE,EC3,View über 2 Tabellen: scarr und spfli,active,2016-09-02T11:40:28Z,HERRMANNSPAH,,,934531f6-178d-4e03-a854-02fe32730798
0f430636-9bf9-4fae-9b8f-85bb15a14d4e,ZAH_MC_BC400,TRAN/T,HERRMANNSPAH,DE,EC3,Multiple Choice for BC400,active,,,,,934531f6-178d-4e03-a854-02fe32730798
1c3614d7-67ed-47d0-8d19-00d1643fe4b5,ZAH_MC_BC410,TRAN/T,HERRMANNSPAH,DE,EC3,Multiple Choice zum BC410,active,,,,,d14cecdd-687a-422a-93b5-34a1182f6cb0
30ed6922-7837-4d08-8eb4-204af0b1b6f4,ZAH_DANGER,TABL/DT,HERRMANNSPAH,DE,EC3,Hazardous material number,active,2016-09-02T13:01:59Z,HERRMANNSPAH,,,15d5931d-8ab3-4bdd-b461-e7fa353e83c5
14514725-616b-4072-bec7-21c24a1692d8,ZAH_MC_BC430,TRAN/T,HERRMANNSPAH,DE,EC3,Multiple Choice for BC430,active,,,,,15d5931d-8ab3-4bdd-b461-e7fa353e83c5
666085bb-84d6-4ea1-b308-2a1135967fae,ZAIF_D01_SIDX_01,TABL/DT,D032171,EN,EC3,Single index table for DEMO BUPA_IN,active,2016-09-02T14:48:28Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
44c1716c-a80c-4d63-9010-c8b259d3f967,ZAIF_REC_CNTRY,TABL/DT,D032171,EN,EC3,AIF Default Keyfield Table,active,2016-09-02T14:00:00Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
715d86e9-05c2-4185-ad37-863c94bb90c8,ZADDRESSDUPLICATES_TT,TTYP/DA,D032171,EN,EC3,Address Duplicates,active,2016-09-02T13:06:41Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
83291ace-6d4d-4c4e-a64b-20169bbb36e1,ZADDRESSNOTES_TT,TTYP/DA,D032171,EN,EC3,Address Notes,active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
8d98820c-40ac-4c33-b059-5e1fcb79bebc,ZAIF_DEMO_EXCHANGE_LOG_DAT_TAB,TTYP/DA,D032171,EN,EC3,,active,2016-09-02T12:18:45Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
8fb65c9c-00aa-4de3-bad7-ea3cd7b1a953,ZAIF_DEMO_RAW_FLBOOK_TT,TTYP/DA,D047539,EN,EC3,Table Type for AIF Demo Interface,active,2016-09-02T13:06:41Z,D047539,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
3f29c21c-3257-4e32-8d6a-d1a3a32f5267,ZCOMMUNICATIONNOTESNONA_TT,TTYP/DA,D032171,EN,EC3,Notes on Communication Types (Address-Independent),active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
b2ac5266-7b89-496d-8ecb-ae9739cc9ef8,ZCOMMUNICATIONNOTES_TT,TTYP/DA,D032171,EN,EC3,Notes on Communication,active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
426570a9-6e8f-4624-a3ab-1d2b02e8b0b9,ZCOMMUNICATIONUSAGENONA_TT,TTYP/DA,D032171,EN,EC3,"Communication Usages (Address-Independent, BAS)",active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
9ddea140-32c4-4dfb-bdb7-2fed1dce0785,ZCOMMUNICATIONUSAGE_TT,TTYP/DA,D032171,EN,EC3,Communication Usages (BAS),active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
4c70b555-ba83-4ff0-87b5-9d32b555940e,ZE_MAILDATANONADDRESS_TT,TTYP/DA,D032171,EN,EC3,E-Mail Addresses (Address-Independent),active,2016-09-02T11:40:21Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
7b9739ab-9db9-4288-99a5-ce381f9837cd,ZE_MAILDATA_TT,TTYP/DA,D032171,EN,EC3,Internet Addresses,active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
f8ee74a1-9c88-4d88-bc1e-75b0942e87c2,ZFAXDATANONADDRESS_TT,TTYP/DA,D032171,EN,EC3,Fax Numbers (Address-Independent),active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
4ea0ce55-8929-4a28-9919-33689440431f,ZFAXDATA_TT,TTYP/DA,D032171,EN,EC3,Fax Numbers,active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
b831f42c-5546-404a-abe4-e370e3b1d6b0,ZPAGADDRESSDATANONADDRE_TT,TTYP/DA,D032171,EN,EC3,Pager Numbers (Address-Independent),active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
212ec5db-144b-40b2-a181-c3f83b9ead9b,ZPAGADDRESSDATA_TT,TTYP/DA,D032171,EN,EC3,Pager Numbers,active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
06179df7-7d6d-47ce-9677-62f228aee607,ZPRTADDRESSDATANONADDRE_TT,TTYP/DA,D032171,EN,EC3,PRT Addresses (Address-Independent),active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
794539a0-4174-4de4-a9a0-00e6d285b620,ZPRTADDRESSDATA_TT,TTYP/DA,D032171,EN,EC3,Printer Addresses,active,2016-09-02T11:40:22Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
0cc12dd6-93c2-4756-8bdd-dddc48ecabfa,ZRFCADDRESSDATANONADDRE_TT,TTYP/DA,D032171,EN,EC3,RFC Addresses (Address-Independent),active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
ba6e0f0f-5e21-49fc-a81c-9c967c932ad8,ZRFCADDRESSDATA_TT,TTYP/DA,D032171,EN,EC3,RFC Addresses,active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
8e78eede-8832-489b-b0d8-682be7528112,ZRMLADDRESSDATANONADDRE_TT,TTYP/DA,D032171,EN,EC3,RML Addresses (Address-Independent),active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
50045c47-54bf-4f0e-9e8a-df45507ff654,ZRMLADDRESSDATA_TT,TTYP/DA,D032171,EN,EC3,RemoteMail Addresses,active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
bf689fac-2d22-43fd-8dbe-04ae12cabb03,ZSSFADDRESSDATANONADDRE_TT,TTYP/DA,D032171,EN,EC3,SSF Addresses (Address-Independent),active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
684823f4-70cc-4fb3-99c9-986e069b449f,ZSSFADDRESSDATA_TT,TTYP/DA,D032171,EN,EC3,SSF Addresses,active,2016-09-02T11:40:02Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
b5f846d7-1b46-485b-b83a-c2fdc7fe0a05,ZTELEFONDATANONADDRESS_TT,TTYP/DA,D032171,EN,EC3,Telephone Numbers (Address-Independent),active,2016-09-02T11:40:03Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
2617e951-58a5-4d5f-ab89-46e66803fe6f,ZTELEFONDATA_TT,TTYP/DA,D032171,EN,EC3,Telephone Numbers,active,2016-09-02T11:40:03Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
4aa0fd2c-46e6-4874-a0b8-08943bd4f138,ZTELETEXDATANONADDRESS_TT,TTYP/DA,D032171,EN,EC3,Teletex Numbers (Address-Independent),active,2016-09-02T11:40:03Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
a3ba0943-47fd-4235-bf80-dd9452f520c6,ZTELETEXDATA_TT,TTYP/DA,D032171,EN,EC3,Teletex Numbers,active,2016-09-02T11:40:03Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
31c5c571-441e-4a36-a9d9-b14b51bfa3a4,ZTELEXDATANONADDRESS_TT,TTYP/DA,D032171,EN,EC3,Telex Numbers (Address-Independent),active,2016-09-02T11:40:03Z,D032171,2013-10-23T22:00:00Z,,1e12aba4-fa5f-4263-8795-fe6474889940
