ID,techName,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd,Z001,Z001,DEVC/K,SAP,,SAP,Customer development class,active,,SAP,,SAP,d7b3bd60-8e0c-4f70-9dd7-3c33413140fa
384b24df-f7fa-4927-a7ff-3d1fc6e57378,ZDOTYPE_E,ZDOTYPE_E,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
3e6b4475-0a31-4b55-9a69-a0512c00762b,ZECMDRAW,ZECMDRAW,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
dfeab643-e685-497a-b11d-59e3f7fd37f5,ZHRBEN0001,ZHRBEN0001,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
47970dee-5a01-415f-80fb-407f2e5e3323,ZHRBENUSFS,ZHRBENUSFS,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
d0a9af77-4b55-4121-8c5c-23e2d865b458,ZLEAVOBJ,ZLEAVOBJ,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
bc7c8e86-7565-4b23-8dbc-88826d697ede,ZUS2032,ZUS2032,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
1c710ecd-8f3c-4d2f-a180-af8c138660a6,ZADRUSAB,ZADRUSAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
4dcdeac6-11c3-49b3-a677-87bb86275944,ZCLUSTDATA,ZCLUSTDATA,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
03605975-6b7c-4208-a03f-6c7dd511f039,ZCLUSTID,ZCLUSTID,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
7d5e96d1-b474-42bb-b84c-a5117a4f47f6,ZCLUSTKEY,ZCLUSTKEY,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
a804254b-4181-41e2-875a-af7c8bdf00f4,ZCLUSTKEY2,ZCLUSTKEY2,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
fba8fc5b-050c-4165-b3c1-d5214e069635,ZDRZ0,ZDRZ0,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
56737953-0056-4aec-bafb-32404ab2d91e,ZEREC_DATA_TRANS,ZEREC_DATA_TRANS,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
1d1d6a73-b8d3-476b-990e-ef8c052b65cc,ZMAT_REQ,ZMAT_REQ,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
f143c107-7131-4dcd-ac87-d8a0607be7f6,ZSEMBPSA,ZSEMBPSA,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
2480886c-2664-484b-859c-58f59f945b2f,ZSEMBPSC,ZSEMBPSC,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
e68d2d4a-f967-45c7-bfc3-452a9a9aa0a1,ZSEMBPSO,ZSEMBPSO,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
6bf3c339-9d98-489b-bf0e-6d8e7825f4ed,ZSEMBPSP,ZSEMBPSP,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
6f89c133-4125-4f0e-a2fd-bd531d55fa33,ZSEMBPST,ZSEMBPST,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
9ed9411d-7ce0-44df-acda-4bac88725d23,ZSSAUTHCHK,ZSSAUTHCHK,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
abe18c58-764d-4906-a7a8-035b1ace2d16,ZSSAUTHFCN,ZSSAUTHFCN,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
fb9c52eb-a22c-43b1-bbcd-e47571cca609,ZSSAUTHKEY,ZSSAUTHKEY,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
bc403554-bdb3-4679-899b-d855aa8556f5,ZSSAUTHOBJ,ZSSAUTHOBJ,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
3de7922a-23c3-4466-a147-7fb726a8452d,ZSSAUTHREF,ZSSAUTHREF,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
a91d4399-4a69-4715-b286-6a9914c36faf,ZTEMPSURVERDET,ZTEMPSURVERDET,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
6ea0f61a-42db-4626-a103-e9c46ff2fa1b,ZBILL_HRS,ZBILL_HRS,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
241b5f9d-7869-4bc1-913d-b6781a59d860,ZBILL_RATE,ZBILL_RATE,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
f8bbca16-d50f-4ae9-8ef3-c947d2e2a2a6,ZV_OLR3_VBAK,ZV_OLR3_VBAK,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
988b015d-576e-41fe-8035-65c451f78005,ZV_OLR3_VBAK_CON,ZV_OLR3_VBAK_CON,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
fb90ce0e-aae1-4d2c-b9a1-f7c5bbccfd23,ZV_OLR3_VBAX,ZV_OLR3_VBAX,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
bd863705-7988-4205-b636-f835f9ed449e,ZBOM_TAB,ZBOM_TAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
61d81383-0d79-4bc0-ab2a-e6c615bfa274,ZDOKAR_TAB,ZDOKAR_TAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
198aa3ef-fce7-44f3-a280-de85b5dd4adc,ZHRASR00STEP_ATTRIBUTES_UI_TAB,ZHRASR00STEP_ATTRIBUTES_UI_TAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
8699d278-f8f7-4651-ba61-65c6854f28f3,ZHRPM_WD_T_COMP_RTG,ZHRPM_WD_T_COMP_RTG,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
5c83c80f-f9de-4b76-894c-2f53e8e04d30,ZHRPM_WD_T_EMP_DETAILS,ZHRPM_WD_T_EMP_DETAILS,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
da9bf198-2429-4d23-9ede-78b8be4f719b,ZINVTAB,ZINVTAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
a7c151cb-7969-4099-8d0a-b442e8267da5,ZMAKTX_TAB,ZMAKTX_TAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
c7c0b9da-6500-4769-9ea7-1cbee8d965b3,ZMATSALTAB,ZMATSALTAB,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
fd328236-7a8f-4edc-8fb2-b7c66ff90abd,ZAANLE_KEY,ZAANLE_KEY,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
a31e3fe5-a78f-44a0-b818-dd8f920efd7d,ZAATPCS,ZAATPCS,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
baccdb86-b049-45bf-b776-93482a26eb4f,ZACOMPCOMP,ZACOMPCOMP,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
be56340d-3a1f-4e51-88b0-9dc5e4ed415d,ZAMCBCOKZ,ZAMCBCOKZ,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
552082e9-aec9-4c50-be6f-743580d42cb9,ZAMCCLASSUSR,ZAMCCLASSUSR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
21fa1a80-b761-41dd-8afb-6c3886a77edc,ZAMCIPMCOUSR,ZAMCIPMCOUSR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
ff548ec3-3dd8-4c07-bea6-be77776c9ec3,ZAMCPARTUSR,ZAMCPARTUSR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
a3d59570-743a-4704-8e52-02073a063b01,ZAMCVKUSR,ZAMCVKUSR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
71952cc9-592d-4a96-ae3b-d56e6a50fac8,ZAPSEKKZ,ZAPSEKKZ,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
687f6a2e-b059-4a95-adbd-7f4774332cac,ZBOM_STR,ZBOM_STR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
1fc9e389-e999-45c6-b26a-a9082a5e78d4,ZCREATE_INCIDENT,ZCREATE_INCIDENT,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
d334756e-79fd-4648-b574-2e1934ebd2eb,ZDOKAR,ZDOKAR,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
8b3e5375-fe40-44b4-8300-563f3d36dadd,ZFORECAST,ZFORECAST,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
d5d09225-a94f-4508-8ace-8488b67d0f13,ZFORECAST2,ZFORECAST2,DEVC/K,,,,,active,,,,,ae9b6dfb-4814-4db4-9f2a-e1cd17c5d7fd
