ID,lockedByEditor,programType,sourceObjectStatus,fixPointArithmetic,activeUnicodeCheck,descriptionTextLimit,sourceCode,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
fda9fa4b-f9f8-4166-bf4b-6d0a3c52f5ec,false,modulePool,,true,true,,,MP999000,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:38Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
d7234dc3-a114-4e82-8948-bd4239412e45,false,modulePool,,true,true,,,MP999100,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:39Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
23ced80f-92b2-4aec-9571-59d1278ac21f,false,modulePool,,true,true,,,MP999200,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:39Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
188859ef-7926-4a9d-b084-536e2d0ff394,false,modulePool,,true,true,,,MP999300,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:40Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
d31db4a5-3883-4f37-9382-f5323b7d356e,false,modulePool,,true,true,,,MP999500,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:40Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
545f3d80-45c5-4013-901c-b43440df75ac,false,modulePool,,true,true,,,MP999600,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:41Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
753f2105-09d7-4c9b-bb51-69eb8adc561c,false,modulePool,,true,true,,,MP999700,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:41Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
3f419476-97de-424f-a606-be021d3847e7,false,modulePool,,true,true,,,MP999800,PROG/P,PITTEN,EN,EC3,,active,2005-12-22T20:59:42Z,PITTEN,2002-01-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
bdd3bc07-6437-4f92-a94d-dc6402936996,false,executableProgram,,true,true,,,Y_CLONE_PERNR_UXUSER,PROG/P,PITTEN,EN,EC3,Clone PERNR,active,2016-09-02T20:15:31Z,PITTEN,2016-04-02T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
d7c62204-b078-4d24-ba60-8c894ed0e935,false,modulePool,,true,true,,,ZADRUSAB,PROG/P,KREICHGAUER,EN,EC3,Usability Training Transaction,active,2016-09-02T20:15:43Z,KREICHGAUER,1998-07-09T00:00:00Z,,79b0e935-ed9d-4f3b-8944-f6debf03c8c1
