OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
PINF/KI,/1CRMES/ES_GEN_STD,/1CRMES/ES_GEN_STD,/sap/bc/adt/vit/wb/object_type/pinfki/object_name/%2f1CRMES%2fES_GEN_STD,/sap/bc/adt/vit/wb/object_type/pinfki/object_name/%2f1CRMES%2fES_GEN_STD,
TABL/DS,/1CRMES/SAMPLEORDER_Q,/1CRMES/SAMPLEORDER_Q,/sap/bc/adt/ddic/structures/%2f1crmes%2fsampleorder_q,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2f1CRMES%2fSAMPLEORDER_Q,
TABL/DS,/1CRMES/SAMPLEORDER_R,/1CRMES/SAMPLEORDER_R,/sap/bc/adt/ddic/structures/%2f1crmes%2fsampleorder_r,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2f1CRMES%2fSAMPLEORDER_R,
SUSO/B,/ARBA/CLAS,/ARBA/CLAS,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fCLAS,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fCLAS,
SUSO/B,/ARBA/PROG,/ARBA/PROG,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fPROG,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fPROG,
SUSO/B,/ARBA/RFC,/ARBA/RFC,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fRFC,/sap/bc/adt/vit/wb/object_type/susob/object_name/%2fARBA%2fRFC,
TTYP/DA,/ARBA/APIMEPOACC_PROF_SEGMNT_T,/ARBA/APIMEPOACC_PROF_SEGMNT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fAPIMEPOACC_PROF_SEGMNT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fAPIMEPOACC_PROF_SEGMNT_T,
TTYP/DA,/ARBA/BAPIEKKO_T,/ARBA/BAPIEKKO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIEKKO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIEKKO_T,
TTYP/DA,/ARBA/BAPIESKLC_T,/ARBA/BAPIESKLC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESKLC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESKLC_T,
TTYP/DA,/ARBA/BAPIESLLTX_T,/ARBA/BAPIESLLTX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESLLTX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESLLTX_T,
TTYP/DA,/ARBA/BAPIESUCC_T,/ARBA/BAPIESUCC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUCC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUCC_T,
TTYP/DA,/ARBA/BAPIESUHC_T,/ARBA/BAPIESUHC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUHC_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUHC_T,
TTYP/DA,/ARBA/BAPIESUH_T,/ARBA/BAPIESUH_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUH_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIESUH_T,
TTYP/DA,/ARBA/BAPIMEPOACCOUNTPROFITS_T,/ARBA/BAPIMEPOACCOUNTPROFITS_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNTPROFITS_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNTPROFITS_T,
TTYP/DA,/ARBA/BAPIMEPOACCOUNTX_T,/ARBA/BAPIMEPOACCOUNTX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNTX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNTX_T,
TTYP/DA,/ARBA/BAPIMEPOACCOUNT_T,/ARBA/BAPIMEPOACCOUNT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOACCOUNT_T,
TTYP/DA,/ARBA/BAPIMEPOADDRDELIVERY_T,/ARBA/BAPIMEPOADDRDELIVERY_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOADDRDELIVERY_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOADDRDELIVERY_T,
TTYP/DA,/ARBA/BAPIMEPOCONDHEADERX_T,/ARBA/BAPIMEPOCONDHEADERX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDHEADERX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDHEADERX_T,
TTYP/DA,/ARBA/BAPIMEPOCONDHEADER_T,/ARBA/BAPIMEPOCONDHEADER_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDHEADER_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDHEADER_T,
TTYP/DA,/ARBA/BAPIMEPOCONDX_T,/ARBA/BAPIMEPOCONDX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCONDX_T,
TTYP/DA,/ARBA/BAPIMEPOCOND_T,/ARBA/BAPIMEPOCOND_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCOND_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOCOND_T,
TTYP/DA,/ARBA/BAPIMEPOITEMX_T,/ARBA/BAPIMEPOITEMX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOITEMX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOITEMX_T,
TTYP/DA,/ARBA/BAPIMEPOITEM_T,/ARBA/BAPIMEPOITEM_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOITEM_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOITEM_T,
TTYP/DA,/ARBA/BAPIMEPOSCHEDULE_T,/ARBA/BAPIMEPOSCHEDULE_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOSCHEDULE_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOSCHEDULE_T,
TTYP/DA,/ARBA/BAPIMEPOSCHEDULX_T,/ARBA/BAPIMEPOSCHEDULX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOSCHEDULX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOSCHEDULX_T,
TTYP/DA,/ARBA/BAPIMEPOTEXTHEADER_T,/ARBA/BAPIMEPOTEXTHEADER_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOTEXTHEADER_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOTEXTHEADER_T,
TTYP/DA,/ARBA/BAPIMEPOTEXT_T,/ARBA/BAPIMEPOTEXT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOTEXT_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIMEPOTEXT_T,
TTYP/DA,/ARBA/BAPIPAREXARBA_T,/ARBA/BAPIPAREXARBA_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIPAREXARBA_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIPAREXARBA_T,
TTYP/DA,/ARBA/BAPIPAREX_T,/ARBA/BAPIPAREX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIPAREX_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fBAPIPAREX_T,
TTYP/DA,/ARBA/MEPOCONDHEADERXBAPI_T,/ARBA/MEPOCONDHEADERXBAPI_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fMEPOCONDHEADERXBAPI_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fMEPOCONDHEADERXBAPI_T,
TTYP/DA,/ARBA/POCONDHEADERBAPI_T,/ARBA/POCONDHEADERBAPI_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPOCONDHEADERBAPI_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPOCONDHEADERBAPI_T,
TTYP/DA,/ARBA/POHEADER_INFO_T,/ARBA/POHEADER_INFO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPOHEADER_INFO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPOHEADER_INFO_T,
TTYP/DA,/ARBA/PO_ACCOUNT_INFO_T,/ARBA/PO_ACCOUNT_INFO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPO_ACCOUNT_INFO_T,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fARBA%2fPO_ACCOUNT_INFO_T,
