ID,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
b98f6436-69a6-4721-ab7b-e56b72cf5f9d,97100143,PDTS/MA,MISSIG,EN,DH3,ZLSO_D_RCPT,active,,,,,418bae63-42d3-496d-af10-4f1904845605
1ced01b8-a3be-496e-a0b3-ef2a754bfbf4,97100238,PDWS/MM,MISSIG,EN,DH3,ZLSO_D_MAIL,active,,,,,418bae63-42d3-496d-af10-4f1904845605
a464bf53-c0ce-4f13-b261-b6d258dccea3,ZQAM_ISSUE_OVERVIEW,SFPF/5F,I302690,EN,EC3,,active,,,2014-08-11T22:00:00Z,,091a88fd-c335-412e-881b-69b774ee7d1b
2bf39c07-45c8-442d-8864-85a0813d0b39,ZCOST_ELEMENTS,TABL/DT,C5191063,EN,EC3,Cost Elements,active,2016-09-02T11:38:34Z,C5191063,2014-06-09T22:00:00Z,,5d0340ee-7a5d-48dd-9864-45ad3da14ebf
440ee66b-6879-4063-94c0-3132d8532042,ZBUS2075,SOBJ/MO,ROMAHN,DE,EC3,ZBUS2075 internal order subtype,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
39a95605-c530-4d74-95ec-7e1cd86618fa,90600005,PDTS/MA,D022163,DE,EC3,CustAppr,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
0213e952-66f8-41f2-bbf6-4d903031c616,90600006,PDTS/MA,D022163,DE,EC3,CustBAPI,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
7f80b1e3-de0c-4279-a234-62ad37452de5,90600007,PDTS/MA,D022163,DE,EC3,CustAppr_00,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
4b2261e6-83d9-495b-8315-a0ee7807020c,98000005,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Edit,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
a0aaf1eb-4d6e-42d4-bf8b-95e7536a7ffc,98000006,PDTS/MA,ROMAHN,DE,EC3,IntOrd_Relea,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
5ae7937a-e4f0-462c-8945-d6e5ed67654b,90600006,PDWS/MM,D022163,DE,EC3,CustCrea,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
24b90447-d431-49d4-93a1-19cbcc6018d2,90600007,PDWS/MM,D022163,DE,EC3,CustCrea_00,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
2560e37d-28e4-46f0-b8ba-b34d565f47d1,98000005,PDWS/MM,ROMAHN,DE,EC3,IntOrd_Appro,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
f72f525c-c777-431f-9652-03786ceb2481,98000006,PDWS/MM,ROMAHN,DE,EC3,Mara_Check,active,,,,,606e898b-b350-4e85-951f-a7e0972e944e
ab25ee35-62f6-433b-b480-aed5a91c641c,98800060,PDWS/MM,HARTMANNJOE,DE,T68,Z-AC690-01,active,,,,,98765789-79b6-4277-8895-9651daaadcf8
6ec7fd18-ee75-425a-b401-a2063c2bf619,98000181,PDTS/MA,I036765,EN,L53,SENDAPPR,active,,,,,3aa5603d-ece6-416a-9947-7a37cb39fc43
7a8cc3b8-8557-4cda-b1cb-1474ee607666,98000248,PDWS/MM,I036765,EN,L53,createvendor,active,,,,,3aa5603d-ece6-416a-9947-7a37cb39fc43
c8d4fdad-75d5-437a-aee6-87b55201d97a,ZPA0012,VIEW/DV,D542,EN,I01,Fiscal Data - Germany,active,2021-12-08T08:50:03Z,D542,2021-11-07T23:00:00Z,,d971db49-9af4-40e2-a85e-02c7f8338448
0b171d95-7eb0-47f2-b062-025f9a460ccd,ZPA0013,VIEW/DV,D542,EN,I01,Infotyp Sozialversicherung Deutschland,active,2021-12-08T08:48:41Z,D542,2021-11-07T23:00:00Z,,d971db49-9af4-40e2-a85e-02c7f8338448
395fc1d8-b552-47c0-a730-33ee11367b4e,ZPA0079,VIEW/DV,D542,EN,I01,Infotyp SI Additional Insurance,active,2021-12-08T08:50:33Z,D396,2021-11-08T23:00:00Z,,d971db49-9af4-40e2-a85e-02c7f8338448
8ba3a3ea-40c7-44e0-8bf6-19c1569553dc,ZPA0699,VIEW/DV,D542,EN,I01,Personnel Master Record Infotype 0699,active,2021-12-08T08:58:45Z,D396,2021-11-08T23:00:00Z,,d971db49-9af4-40e2-a85e-02c7f8338448
b608e32c-ea8f-4397-8356-02118da8df87,ZAH_VIEW,VIEW/DV,HERRMANNSPAH,DE,EC3,View über 2 Tabellen: scarr und spfli,active,2016-09-02T11:40:28Z,HERRMANNSPAH,,,905979ca-12de-4c6e-890b-1f9034843650
3c407ccc-10f2-4ecc-a5e8-40aa7ab98f99,ZAH_MC_BC400,TRAN/T,HERRMANNSPAH,DE,EC3,Multiple Choice for BC400,active,,,,,905979ca-12de-4c6e-890b-1f9034843650
