TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
YDRAW,YDRAW,SOBJ/MO,RUDISILL,EN,EN,EC3,ECO with Doc. Status,active,,,,
ZDOTYPE_E,ZDOTYPE_E,SOBJ/MO,RUNYON,EN,EN,L13,HR Business Eventf,active,,,,
ZECMDRAW,ZECMDRAW,SOBJ/MO,RUDISILL,EN,EN,IDT,ECM Document,active,,,,
ZHRBEN0001,ZHRBEN0001,SOBJ/MO,STODDARD,EN,EN,EC3,Person Number,active,,,,
ZHRBENUSFS,ZHRBENUSFS,SOBJ/MO,MELEWSKY,EN,EN,EC3,ZHRBENUSFS,active,,,,
ZLEAVOBJ,ZLEAVOBJ,SOBJ/MO,WEISSANJA,EN,EN,DH3,Approve / Reject leave request,active,,,,
ZUS2032,ZUS2032,SOBJ/MO,DAVIS,EN,EN,EC3,Custom Sales Order,active,,,,
80000135,80000135,PDTS/MA,RUNYON,EN,EN,L13,ZUS_EVNT_FBK,active,,,,
80000136,80000136,PDTS/MA,RUNYON,EN,EN,L13,ZUS_EVNT_ULD,active,,,,
80000137,80000137,PDTS/MA,RUNYON,EN,EN,L13,zcr_smail3,active,,,,
90600051,90600051,PDTS/MA,SCHLEICHER,DE,EN,EC3,z00_disporde,active,,,,
90600052,90600052,PDTS/MA,SCHLEICHER,DE,EN,EC3,z20_editorde,active,,,,
96000018,96000018,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_EDIT,active,,,,
96000019,96000019,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_APPR,active,,,,
96000020,96000020,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_SET_S,active,,,,
96000021,96000021,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_SEND,active,,,,
96000022,96000022,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_REV,active,,,,
96000023,96000023,PDTS/MA,RUDISILL,EN,EN,IDT,Z_DRAW_REJCT,active,,,,
96000158,96000158,PDTS/MA,RUNYON,EN,EN,IDT,ZCR2032.EDIT,active,,,,
96000159,96000159,PDTS/MA,RUNYON,EN,EN,IDT,zcr_sendmail,active,,,,
96000160,96000160,PDTS/MA,RUNYON,EN,EN,IDT,zcr_mail-app,active,,,,
96000166,96000166,PDTS/MA,RUNYON,EN,EN,IDT,zcr_sendmai2,active,,,,
96000189,96000189,PDTS/MA,PITTEN,EN,EN,IDT,Elementimp,active,,,2011-03-22T23:00:00Z,
96000190,96000190,PDTS/MA,PITTEN,EN,EN,IDT,TMC Mail,active,,,2011-03-25T23:00:00Z,
97100126,97100126,PDTS/MA,BILDER,EN,EN,DR3,Z_BEN_ENROLL,active,,,,
97100153,97100153,PDTS/MA,I046697,EN,EN,DH3,zcheckstat,active,,,,
97100154,97100154,PDTS/MA,I046697,EN,EN,DH3,position,active,,,,
97100157,97100157,PDTS/MA,I046697,EN,EN,DH3,zupdateIT,active,,,,
97100158,97100158,PDTS/MA,I046697,EN,EN,DH3,zsendmail,active,,,,
97100247,97100247,PDTS/MA,WEISSANJA,EN,EN,DH3,MIB LR App3,active,,,,
97100249,97100249,PDTS/MA,WEISSANJA,EN,EN,DH3,MIB LR Rejec,active,,,,
97100251,97100251,PDTS/MA,WEISSANJA,EN,EN,DH3,RejectMail,active,,,,
97100252,97100252,PDTS/MA,WEISSANJA,EN,EN,DH3,ApproveMail,active,,,,
97100274,97100274,PDTS/MA,WEISSANJA,EN,EN,DH3,LR_GET_ATTR,active,,,,
97100275,97100275,PDTS/MA,WEISSANJA,EN,EN,DH3,MIB-Decision,active,,,,
98000014,98000014,PDTS/MA,SCHLEICHER,DE,EN,EC3,Ybc601_matdi,active,,,,
