TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT
Z001,Z001,DEVC/K,SAP,,EN,SAP,Customer development class,active,,SAP,,SAP,
ZDOTYPE_E,ZDOTYPE_E,DEVC/K,,,EN,,,active,,,,,
ZECMDRAW,ZECMDRAW,DEVC/K,,,EN,,,active,,,,,
ZHRBEN0001,ZHRBEN0001,DEVC/K,,,EN,,,active,,,,,
ZHRBENUSFS,ZHRBENUSFS,DEVC/K,,,EN,,,active,,,,,
ZLEAVOBJ,ZLEAVOBJ,DEVC/K,,,EN,,,active,,,,,
ZUS2032,ZUS2032,DEVC/K,,,EN,,,active,,,,,
ZADRUSAB,ZADRUSAB,DEVC/K,,,EN,,,active,,,,,
ZCLUSTDATA,ZCLUSTDATA,DEVC/K,,,EN,,,active,,,,,
ZCLUSTID,ZCLUSTID,DEVC/K,,,EN,,,active,,,,,
ZCLUSTKEY,ZCLUSTKEY,DEVC/K,,,EN,,,active,,,,,
ZCLUSTKEY2,ZCLUSTKEY2,DEVC/K,,,EN,,,active,,,,,
ZDRZ0,ZDRZ0,DEVC/K,,,EN,,,active,,,,,
ZEREC_DATA_TRANS,ZEREC_DATA_TRANS,DEVC/K,,,EN,,,active,,,,,
ZMAT_REQ,ZMAT_REQ,DEVC/K,,,EN,,,active,,,,,
ZSEMBPSA,ZSEMBPSA,DEVC/K,,,EN,,,active,,,,,
ZSEMBPSC,ZSEMBPSC,DEVC/K,,,EN,,,active,,,,,
ZSEMBPSO,ZSEMBPSO,DEVC/K,,,EN,,,active,,,,,
ZSEMBPSP,ZSEMBPSP,DEVC/K,,,EN,,,active,,,,,
ZSEMBPST,ZSEMBPST,DEVC/K,,,EN,,,active,,,,,
ZSSAUTHCHK,ZSSAUTHCHK,DEVC/K,,,EN,,,active,,,,,
ZSSAUTHFCN,ZSSAUTHFCN,DEVC/K,,,EN,,,active,,,,,
ZSSAUTHKEY,ZSSAUTHKEY,DEVC/K,,,EN,,,active,,,,,
ZSSAUTHOBJ,ZSSAUTHOBJ,DEVC/K,,,EN,,,active,,,,,
ZSSAUTHREF,ZSSAUTHREF,DEVC/K,,,EN,,,active,,,,,
ZTEMPSURVERDET,ZTEMPSURVERDET,DEVC/K,,,EN,,,active,,,,,
ZBILL_HRS,ZBILL_HRS,DEVC/K,,,EN,,,active,,,,,
ZBILL_RATE,ZBILL_RATE,DEVC/K,,,EN,,,active,,,,,
ZV_OLR3_VBAK,ZV_OLR3_VBAK,DEVC/K,,,EN,,,active,,,,,
ZV_OLR3_VBAK_CON,ZV_OLR3_VBAK_CON,DEVC/K,,,EN,,,active,,,,,
